Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Bihar,508.58,265,Large,2022-07-10,12,Curd,Mother Dairy,926.29,81.98,93395.02,171,Frozen,2021-03-12,2025-07-20,293,91.82,56913.98,Kerala,Online,839,89.29,139.02
Rajasthan,214.57,440,Large,2022-03-07,24,Paneer,Britannia Industries,510.66,140.39,95179.34,322,Tetra Pack,2022-01-26,2024-11-12,928,55.4,188266.09,Jharkhand,Retail,953,78.95,30.8
Kerala,923.46,216,Medium,2021-05-01,10,Paneer,Mother Dairy,78.45,97.85,74119.63,223,Polythene Packet,2022-03-25,2025-01-17,909,113.26,157722.09,Karnataka,Wholesale,999,68.1,158.46
Jharkhand,350.17,86,Large,2022-08-26,20,Ice Cream,Mother Dairy,431.58,184.49,12828.97,132,Tetra Pack,2020-02-20,2024-12-04,914,149.61,91239.74,Rajasthan,Online,987,36.89,147.43
Gujarat,107.01,402,Large,2023-01-22,28,Butter,Parag Milk Foods,96.4,193.76,18311.92,179,Polythene Packet,2019-12-22,2024-06-15,485,50.77,4769.77,Uttar Pradesh,Wholesale,1365,10.89,26.13
Chandigarh,495.09,35,Small,2022-04-17,31,Lassi,Mother Dairy,870.88,195.27,25328.43,26,Polythene Packet,2021-08-16,2024-07-24,275,37.76,23112.85,West Bengal,Online,427,88.94,130.12
Haryana,572.07,334,Large,2021-03-18,25,Paneer,Passion Cheese,558.85,187.63,42133.03,114,Ambient,2021-01-03,2024-09-10,364,89.39,163155.45,Gujarat,Online,807,85.22,69.91
Haryana,725.5,380,Small,2019-01-09,5,Curd,Amul,771.17,103.15,70429.96,205,Tetra Pack,2022-09-26,2024-06-11,287,114.46,59915.13,Haryana,Retail,718,33.85,161.1
Telangana,875.97,338,Small,2021-02-13,8,Lassi,Dynamix Dairies,107.1,57.9,15842.1,240,Tetra Pack,2022-06-27,2024-07-15,578,135.5,58375.77,Tamil Nadu,Online,878,69.73,161.7
Chandigarh,922.17,424,Medium,2022-05-23,15,Milk,Palle2patnam,141.42,33.81,53285.28,108,Polythene Packet,2022-03-16,2025-05-21,271,141.03,21047.02,Karnataka,Wholesale,1067,1.58,138.25
Madhya Pradesh,99.74,138,Medium,2020-01-13,39,Curd,Mother Dairy,257.21,138.82,53338.3,63,Frozen,2019-09-29,2025-02-14,45,162.41,73110.24,Kerala,Online,1201,5.06,95.97
Jharkhand,274.37,43,Large,2019-05-28,42,Milk,Passion Cheese,748.73,144.3,89849.95,187,Polythene Packet,2019-11-18,2024-07-23,831,165.05,63702.06,Haryana,Wholesale,191,57.31,192.81
West Bengal,902.74,103,Large,2022-11-15,7,Cheese,Amul,524.02,132.68,31356.23,200,Tetra Pack,2022-12-26,2024-02-05,94,18.78,198206.43,Kerala,Wholesale,45,76.17,128.09
Kerala,642.98,257,Small,2020-10-28,31,Paneer,Passion Cheese,461.79,72.6,71813.15,260,Tetra Pack,2020-04-09,2024-11-20,596,63.08,23115.75,Chandigarh,Online,538,30.78,58.92
West Bengal,988.25,104,Medium,2019-12-29,20,Ghee,Raj,140.69,44.19,72094.0,163,Polythene Packet,2021-07-12,2024-07-24,877,65.92,38534.33,Karnataka,Retail,683,8.38,130.95
Tamil Nadu,258.26,86,Large,2022-01-08,12,Cheese,Dodla Dairy,564.8,66.74,63161.28,350,Ambient,2021-07-20,2024-06-15,642,78.65,2250.27,Maharashtra,Online,1182,10.49,144.35
Jharkhand,88.72,402,Medium,2021-04-09,40,Ghee,Parag Milk Foods,635.51,72.25,42182.56,185,Polythene Packet,2023-03-10,2024-04-25,308,144.6,76721.71,Chandigarh,Retail,259,85.53,80.03
Rajasthan,290.03,147,Small,2020-05-03,8,Milk,Raj,702.07,117.02,98046.34,178,Ambient,2019-12-27,2024-02-15,228,120.01,47273.13,Madhya Pradesh,Wholesale,1229,74.64,111.69
Haryana,101.41,104,Large,2020-08-08,22,Milk,Sudha,411.4,32.3,65264.62,357,Frozen,2023-08-02,2024-08-06,55,151.46,138981.99,Telangana,Wholesale,451,21.59,59.92
Chandigarh,466.72,366,Medium,2019-05-05,48,Cheese,Palle2patnam,110.62,53.84,64676.21,118,Tetra Pack,2021-06-06,2024-05-08,647,150.32,107121.72,West Bengal,Retail,881,2.47,6.58
Jharkhand,682.07,34,Large,2019-03-01,33,Lassi,Dodla Dairy,342.15,159.72,2540.66,41,Refrigerated,2019-11-26,2025-10-18,778,117.13,47810.95,Haryana,Wholesale,1388,71.54,145.75
Uttar Pradesh,821.1,474,Large,2021-01-25,3,Buttermilk,Passion Cheese,220.7,20.76,39313.52,58,Refrigerated,2022-05-31,2025-02-03,177,90.57,136023.4,Jharkhand,Wholesale,47,73.61,27.97
Uttar Pradesh,883.09,37,Large,2022-02-02,43,Curd,Parag Milk Foods,63.65,199.18,48528.84,194,Ambient,2023-06-19,2025-11-13,303,83.22,58364.16,Tamil Nadu,Retail,969,80.03,143.23
Haryana,999.67,455,Medium,2021-06-20,17,Yogurt,Dodla Dairy,563.19,45.06,37707.48,168,Frozen,2021-10-05,2025-09-03,250,142.62,154973.45,Jharkhand,Online,216,27.99,13.61
Bihar,751.27,185,Small,2020-12-19,49,Buttermilk,Passion Cheese,512.67,20.56,16077.56,107,Ambient,2020-11-11,2025-11-15,997,35.74,122891.45,Jharkhand,Retail,1045,99.86,93.19
Haryana,56.78,380,Large,2023-11-02,34,Paneer,Amul,532.82,155.55,44163.25,364,Ambient,2022-12-06,2025-03-26,665,83.41,103642.65,Delhi,Online,588,36.34,168.3
Chandigarh,113.51,221,Large,2019-10-28,35,Curd,Warana,734.09,66.02,14818.49,64,Tetra Pack,2023-07-03,2025-07-02,392,132.57,41171.01,Tamil Nadu,Online,897,63.83,127.52
Bihar,414.13,201,Medium,2023-06-26,49,Ghee,Warana,263.11,135.79,99387.74,354,Ambient,2021-02-07,2024-10-08,833,174.22,154579.39,Maharashtra,Retail,1051,3.03,15.44
Telangana,325.23,20,Small,2022-08-02,14,Milk,Dodla Dairy,92.25,90.52,66597.73,130,Frozen,2023-10-27,2025-04-05,252,119.45,2521.3,Karnataka,Online,1112,81.27,189.45
Jharkhand,310.29,482,Large,2020-10-21,16,Ghee,Sudha,410.86,69.88,2805.5,318,Tetra Pack,2023-07-05,2025-04-06,551,62.42,74658.01,Gujarat,Online,667,46.81,68.38
Telangana,692.76,317,Large,2023-02-20,28,Cheese,Dynamix Dairies,998.9,190.07,34007.66,255,Tetra Pack,2022-01-20,2024-06-20,417,82.57,9705.71,Gujarat,Online,568,14.75,70.72
Kerala,45.18,189,Medium,2022-09-21,14,Lassi,Passion Cheese,753.51,94.88,96551.92,182,Frozen,2021-06-20,2024-06-18,147,140.91,47096.74,Delhi,Online,653,47.92,126.87
Chandigarh,497.07,255,Large,2022-08-11,33,Butter,Sudha,485.39,108.28,43601.22,39,Frozen,2023-01-13,2024-05-07,505,131.24,116566.41,Telangana,Wholesale,1028,2.62,84.9
Karnataka,259.89,402,Small,2021-11-20,7,Milk,Britannia Industries,769.37,183.86,98527.37,302,Frozen,2020-01-23,2025-06-11,433,54.27,24552.59,Karnataka,Wholesale,206,29.37,84.31
Delhi,778.92,407,Large,2022-03-21,29,Ice Cream,Mother Dairy,992.94,147.67,40053.19,5,Refrigerated,2022-06-21,2024-02-14,609,59.03,149025.03,Kerala,Online,653,61.02,7.31
West Bengal,26.25,265,Medium,2023-03-21,17,Lassi,Warana,145.48,74.28,96610.45,41,Refrigerated,2023-09-22,2024-03-15,66,139.44,19486.12,Telangana,Wholesale,656,32.67,173.57
Jharkhand,657.37,139,Small,2022-03-01,5,Ghee,Passion Cheese,327.02,186.23,79167.35,66,Frozen,2023-10-27,2024-08-21,505,149.47,177662.21,Kerala,Wholesale,815,12.93,142.62
Jharkhand,384.89,492,Large,2022-10-30,31,Curd,Palle2patnam,568.04,114.97,98015.75,71,Frozen,2019-06-05,2024-08-18,682,133.35,6318.34,West Bengal,Wholesale,120,24.78,58.52
Gujarat,225.73,452,Small,2019-04-05,26,Milk,Dynamix Dairies,752.18,193.2,92236.24,31,Tetra Pack,2023-06-17,2024-08-09,662,85.25,178671.62,Tamil Nadu,Retail,421,43.77,17.77
Maharashtra,864.95,221,Large,2023-04-25,5,Yogurt,Mother Dairy,128.37,165.53,25283.82,46,Ambient,2022-07-16,2025-09-14,383,42.99,163501.23,Rajasthan,Online,857,4.37,15.22
Rajasthan,69.41,291,Medium,2021-02-25,33,Butter,Dynamix Dairies,220.79,92.18,6243.43,331,Ambient,2021-05-08,2024-11-08,861,92.69,82078.21,Tamil Nadu,Wholesale,214,19.15,13.97
Rajasthan,240.84,350,Medium,2019-12-16,30,Paneer,Dynamix Dairies,98.09,198.67,13514.51,241,Polythene Packet,2023-12-01,2024-01-16,295,133.15,140468.35,Chandigarh,Wholesale,1198,30.15,157.5
Kerala,539.38,227,Medium,2020-02-26,12,Yogurt,Raj,475.58,145.07,76157.76,300,Frozen,2020-11-27,2024-04-17,528,136.48,91647.66,Madhya Pradesh,Wholesale,429,56.8,167.13
Gujarat,80.23,358,Medium,2020-08-20,11,Yogurt,Dodla Dairy,751.55,62.9,9512.83,23,Tetra Pack,2020-05-18,2025-12-15,109,138.33,1455.82,Telangana,Wholesale,1474,37.21,32.87
Telangana,511.07,495,Medium,2020-09-12,40,Lassi,Dodla Dairy,93.38,65.83,33036.83,140,Frozen,2023-03-13,2025-08-18,271,70.76,74981.48,Delhi,Wholesale,269,38.19,43.28
Telangana,172.76,239,Small,2023-02-10,13,Paneer,Amul,220.1,108.2,14470.51,139,Ambient,2020-09-09,2025-04-03,286,34.42,171980.2,Rajasthan,Online,165,84.26,83.22
Tamil Nadu,682.62,217,Medium,2023-10-06,7,Curd,Warana,220.97,90.01,87763.25,201,Polythene Packet,2021-05-29,2025-08-07,135,130.69,122432.79,Telangana,Retail,385,69.85,81.46
West Bengal,422.98,151,Small,2020-12-27,21,Curd,Passion Cheese,820.09,82.75,41537.56,347,Tetra Pack,2021-09-19,2024-10-29,222,62.29,152081.66,Rajasthan,Wholesale,1244,52.24,119.62
Rajasthan,533.78,466,Medium,2022-08-22,41,Butter,Dodla Dairy,824.99,186.13,62160.0,125,Refrigerated,2023-03-16,2024-12-05,91,146.54,3142.33,Tamil Nadu,Wholesale,485,29.73,97.46
Karnataka,868.03,93,Medium,2023-08-22,10,Yogurt,Parag Milk Foods,128.05,104.6,44573.25,157,Refrigerated,2020-07-26,2025-09-11,940,61.87,123098.5,Karnataka,Wholesale,96,40.59,79.24
Maharashtra,104.08,65,Small,2019-03-07,20,Buttermilk,Palle2patnam,327.21,177.5,18944.16,57,Polythene Packet,2019-02-12,2025-02-19,405,146.12,105873.64,Jharkhand,Retail,1383,63.45,61.8
Maharashtra,336.79,241,Small,2019-06-22,18,Ghee,Raj,820.6,50.38,27210.84,165,Frozen,2023-08-29,2025-06-06,222,20.02,159650.84,Haryana,Online,687,60.67,170.47
Rajasthan,848.18,17,Large,2020-05-27,40,Lassi,Sudha,630.57,117.16,15606.54,240,Polythene Packet,2019-01-15,2024-09-26,66,124.41,184510.38,Haryana,Online,962,98.28,38.38
Haryana,324.14,184,Medium,2020-05-07,45,Lassi,Sudha,702.77,81.35,70125.7,336,Tetra Pack,2021-06-25,2025-11-22,76,115.67,66250.48,Tamil Nadu,Online,771,82.5,12.79
Maharashtra,716.48,386,Large,2019-05-11,27,Curd,Dynamix Dairies,386.13,63.66,39895.52,137,Refrigerated,2022-01-08,2024-09-23,428,21.67,190600.91,Kerala,Wholesale,938,11.18,32.86
Maharashtra,627.67,185,Medium,2023-04-23,21,Buttermilk,Passion Cheese,76.88,130.11,28104.33,201,Polythene Packet,2023-04-17,2025-07-13,795,161.69,44811.3,Telangana,Online,1239,22.68,181.53
Madhya Pradesh,409.39,127,Large,2020-03-31,38,Ice Cream,Warana,987.66,124.43,98790.51,7,Refrigerated,2020-10-08,2024-02-16,548,137.15,2868.67,Kerala,Wholesale,1401,7.0,107.64
Chandigarh,412.06,485,Medium,2022-05-12,14,Lassi,Mother Dairy,613.46,165.61,21965.75,75,Tetra Pack,2023-04-12,2024-09-17,853,175.87,18266.26,West Bengal,Retail,59,38.28,112.21
Rajasthan,864.77,479,Large,2019-07-08,11,Buttermilk,Palle2patnam,628.13,104.43,60816.88,245,Polythene Packet,2021-01-15,2024-03-03,8,77.21,28179.42,Gujarat,Wholesale,1001,95.14,134.85
Karnataka,509.22,291,Large,2022-01-08,4,Ice Cream,Dodla Dairy,972.35,156.32,99836.62,131,Frozen,2022-11-05,2025-03-31,859,58.86,98430.13,Maharashtra,Online,1336,27.67,83.9
Karnataka,529.83,497,Small,2019-08-31,8,Lassi,Passion Cheese,462.67,35.02,87437.82,311,Frozen,2022-04-03,2025-06-27,868,60.66,156324.89,Madhya Pradesh,Retail,86,74.86,82.81
Telangana,507.37,179,Medium,2023-03-10,5,Cheese,Britannia Industries,431.41,105.13,91854.57,7,Ambient,2023-09-14,2024-05-26,156,43.46,28622.27,Chandigarh,Wholesale,650,85.96,43.47
Rajasthan,277.81,288,Medium,2023-07-03,28,Curd,Britannia Industries,871.05,39.96,61123.57,157,Ambient,2023-03-04,2025-02-04,823,76.67,81246.11,Delhi,Retail,406,7.39,68.53
West Bengal,309.01,458,Medium,2019-10-18,39,Ice Cream,Warana,545.06,109.53,65014.42,141,Polythene Packet,2020-10-18,2025-02-16,512,24.19,52773.16,Haryana,Wholesale,243,41.92,37.98
Karnataka,382.0,389,Medium,2020-09-23,35,Paneer,Warana,74.71,70.9,34454.27,297,Tetra Pack,2022-01-21,2024-02-20,864,75.89,184961.75,Chandigarh,Online,56,30.89,108.11
Jharkhand,296.72,370,Large,2020-08-25,14,Ice Cream,Dynamix Dairies,932.2,161.19,69919.35,151,Polythene Packet,2023-12-21,2025-02-19,406,85.37,51073.36,Kerala,Retail,1394,74.11,157.01
Gujarat,681.16,416,Medium,2021-07-19,39,Butter,Raj,182.72,72.01,37361.78,273,Polythene Packet,2021-04-18,2024-12-20,21,122.93,137209.57,Madhya Pradesh,Online,1430,67.43,183.79
Chandigarh,290.52,353,Large,2022-04-04,9,Ice Cream,Mother Dairy,585.77,171.11,54191.28,110,Refrigerated,2022-02-16,2024-08-06,374,33.32,153925.04,Kerala,Wholesale,39,89.38,161.74
Karnataka,677.59,113,Small,2021-01-03,1,Buttermilk,Mother Dairy,82.27,173.12,37072.76,239,Frozen,2019-05-16,2024-06-07,312,68.6,145398.08,Delhi,Wholesale,399,40.39,82.28
Madhya Pradesh,413.5,189,Small,2021-03-13,38,Curd,Dodla Dairy,496.01,151.62,81048.68,37,Ambient,2022-07-25,2024-03-09,735,121.55,8610.68,Karnataka,Wholesale,1291,70.19,186.15
Maharashtra,417.95,212,Small,2021-10-17,48,Milk,Amul,785.48,103.28,45322.03,105,Tetra Pack,2019-12-22,2024-01-19,207,167.68,26214.4,Delhi,Wholesale,1085,41.16,83.6
Karnataka,894.19,201,Medium,2019-03-27,28,Yogurt,Warana,930.6,111.45,87295.95,84,Frozen,2022-12-19,2024-12-07,496,153.46,157397.76,Kerala,Retail,40,23.13,115.19
Tamil Nadu,101.67,345,Small,2019-11-19,32,Lassi,Parag Milk Foods,341.12,93.69,60006.35,91,Frozen,2022-12-28,2025-06-20,800,126.76,43070.21,Tamil Nadu,Retail,825,39.08,160.97
Uttar Pradesh,237.62,218,Large,2021-07-23,49,Milk,Passion Cheese,566.98,182.73,42632.27,252,Ambient,2023-11-08,2025-01-07,692,94.05,115479.76,Uttar Pradesh,Retail,173,67.09,16.11
Karnataka,544.31,240,Medium,2019-03-15,3,Ice Cream,Palle2patnam,953.72,88.43,78021.16,54,Refrigerated,2021-11-05,2025-10-30,788,75.62,160025.95,Tamil Nadu,Wholesale,168,17.16,25.85
Rajasthan,856.24,188,Medium,2019-11-17,11,Milk,Parag Milk Foods,605.8,120.28,72283.41,186,Polythene Packet,2021-04-12,2025-04-07,304,42.66,114708.4,Uttar Pradesh,Online,962,71.6,43.98
Tamil Nadu,168.08,440,Medium,2021-05-22,6,Lassi,Sudha,193.99,166.36,73430.22,192,Frozen,2019-04-05,2025-11-27,766,19.75,43662.87,Uttar Pradesh,Wholesale,297,62.01,1.24
Uttar Pradesh,112.72,45,Small,2023-07-26,32,Yogurt,Raj,81.22,183.86,69841.16,165,Frozen,2021-09-27,2025-08-11,601,93.82,16341.51,Madhya Pradesh,Wholesale,425,58.02,37.7
Kerala,230.46,300,Large,2019-10-18,36,Butter,Amul,975.06,191.47,83425.5,8,Frozen,2022-07-19,2025-08-20,750,169.77,86686.74,Kerala,Online,677,64.79,140.27
Bihar,276.15,195,Medium,2022-06-12,29,Ice Cream,Britannia Industries,997.83,155.92,90930.9,213,Frozen,2019-07-29,2024-10-01,407,99.35,93478.83,Haryana,Wholesale,838,68.41,70.62
Uttar Pradesh,636.22,199,Medium,2021-01-28,35,Ice Cream,Mother Dairy,499.06,195.19,5415.24,232,Refrigerated,2020-05-30,2025-11-04,510,119.41,111230.19,Kerala,Retail,911,20.01,165.62
Chandigarh,28.65,114,Large,2021-01-21,12,Yogurt,Passion Cheese,878.11,155.17,99298.07,274,Polythene Packet,2022-04-24,2024-04-30,902,71.42,10759.47,Uttar Pradesh,Online,1491,76.92,85.33
West Bengal,776.29,374,Large,2022-10-16,10,Paneer,Dynamix Dairies,110.66,73.31,70101.33,233,Polythene Packet,2020-03-17,2024-01-28,426,132.75,128883.24,Chandigarh,Online,163,17.31,37.25
Delhi,247.67,83,Small,2021-01-02,18,Curd,Warana,949.92,48.04,65651.1,207,Tetra Pack,2022-04-06,2025-11-12,232,113.33,171077.71,Haryana,Retail,1024,77.5,168.72
West Bengal,146.39,68,Medium,2023-05-21,48,Butter,Mother Dairy,445.68,188.73,54983.94,266,Tetra Pack,2019-02-28,2024-11-10,539,79.37,26797.41,Bihar,Retail,244,86.31,191.67
Chandigarh,473.85,249,Large,2022-05-05,46,Ghee,Warana,923.99,106.95,21911.35,283,Ambient,2023-11-07,2024-12-24,268,174.64,65454.76,Bihar,Online,250,62.18,8.47
Karnataka,507.87,82,Medium,2019-11-21,18,Paneer,Passion Cheese,389.09,168.83,36659.71,88,Polythene Packet,2019-11-19,2024-09-22,160,113.0,156723.47,Haryana,Online,643,27.61,27.37
Bihar,809.26,299,Large,2019-01-14,28,Curd,Warana,678.39,87.55,86951.77,320,Ambient,2021-07-28,2025-01-25,43,70.68,158993.99,Madhya Pradesh,Retail,589,5.1,30.11
Gujarat,919.01,454,Small,2021-03-15,1,Butter,Dodla Dairy,455.85,199.56,83377.79,213,Refrigerated,2022-05-19,2024-03-10,217,126.74,100474.39,Telangana,Wholesale,281,44.76,47.38
Jharkhand,121.45,185,Medium,2020-08-10,18,Paneer,Britannia Industries,251.35,136.12,75365.72,231,Polythene Packet,2023-01-22,2024-09-01,916,33.28,9505.02,Uttar Pradesh,Retail,1268,87.33,57.72
Tamil Nadu,467.06,403,Large,2021-10-25,35,Curd,Palle2patnam,756.96,159.93,5898.37,284,Frozen,2020-06-17,2024-10-24,619,175.35,175331.79,Tamil Nadu,Wholesale,1023,16.57,169.5
West Bengal,339.84,406,Medium,2021-07-27,40,Ghee,Amul,625.51,83.46,63111.6,199,Ambient,2021-02-11,2024-03-15,578,24.11,29239.26,Gujarat,Wholesale,986,86.45,29.06
Haryana,758.09,324,Small,2022-10-15,32,Cheese,Passion Cheese,873.3,83.75,22862.56,303,Frozen,2019-04-19,2025-07-02,871,39.1,42453.99,Maharashtra,Online,647,87.27,132.59
Uttar Pradesh,901.73,459,Medium,2022-04-10,4,Ghee,Warana,94.12,182.37,99647.16,16,Refrigerated,2020-08-02,2025-03-04,998,170.38,77933.6,Jharkhand,Retail,276,2.07,171.7
Tamil Nadu,615.98,317,Small,2019-03-28,19,Paneer,Parag Milk Foods,705.89,182.23,31934.54,181,Polythene Packet,2020-07-29,2024-08-14,704,131.06,95513.09,Haryana,Wholesale,329,67.15,43.1
Rajasthan,976.95,413,Small,2021-02-15,22,Ghee,Warana,758.02,158.96,39676.09,5,Tetra Pack,2021-06-29,2025-04-07,708,22.65,46181.71,Gujarat,Retail,1448,25.61,75.47
Haryana,475.22,477,Large,2022-09-11,7,Buttermilk,Britannia Industries,347.79,159.11,77244.38,270,Refrigerated,2021-05-31,2025-10-18,547,120.21,38023.76,Tamil Nadu,Online,1452,68.62,116.82
Karnataka,889.45,198,Large,2020-06-09,45,Ghee,Amul,426.14,132.19,74900.35,71,Ambient,2020-03-20,2025-10-17,307,139.53,44283.64,Gujarat,Retail,1121,7.38,101.17
Karnataka,62.58,107,Medium,2023-10-25,48,Cheese,Parag Milk Foods,173.76,65.42,97133.2,331,Frozen,2019-08-27,2024-04-19,775,138.4,13285.6,Rajasthan,Retail,721,36.2,197.69
Chandigarh,39.37,383,Small,2022-06-24,14,Cheese,Warana,647.14,193.61,63751.15,191,Ambient,2023-11-27,2024-07-13,450,87.23,69207.96,Haryana,Wholesale,322,74.63,162.2
Delhi,303.58,286,Small,2019-08-18,18,Ghee,Dodla Dairy,350.73,148.12,16454.45,355,Refrigerated,2022-07-26,2025-02-08,785,125.45,173474.92,Haryana,Retail,607,68.54,127.29
Chandigarh,318.16,424,Medium,2019-12-02,5,Butter,Mother Dairy,764.93,102.52,44929.14,115,Tetra Pack,2023-10-10,2024-06-18,100,16.55,163872.38,Delhi,Online,13,41.08,146.76
Kerala,360.15,193,Small,2021-07-21,29,Lassi,Raj,287.44,178.24,29302.64,146,Frozen,2021-07-09,2025-05-25,422,90.25,30936.33,Chandigarh,Online,283,99.62,39.45
Madhya Pradesh,146.1,89,Medium,2019-10-17,23,Ice Cream,Warana,508.12,149.73,1126.97,147,Polythene Packet,2020-09-08,2024-06-05,437,87.56,153340.3,Jharkhand,Wholesale,888,21.56,64.34
Karnataka,341.0,100,Medium,2020-11-01,11,Milk,Amul,537.7,39.88,2459.33,261,Tetra Pack,2021-12-06,2025-11-15,739,177.88,52187.54,Jharkhand,Online,369,95.91,60.34
Haryana,826.26,309,Medium,2023-12-23,14,Butter,Parag Milk Foods,835.5,126.44,65495.18,252,Frozen,2022-02-04,2025-10-13,532,87.63,2823.36,West Bengal,Retail,1011,42.36,24.64
Rajasthan,331.87,480,Medium,2020-12-24,3,Butter,Dodla Dairy,349.21,170.48,84970.11,89,Frozen,2022-04-14,2024-08-19,799,177.29,104297.73,Tamil Nadu,Online,193,43.09,172.45
Telangana,105.63,116,Small,2023-03-13,32,Milk,Mother Dairy,893.47,153.21,8634.26,299,Refrigerated,2020-03-12,2025-07-25,481,122.32,49871.89,Chandigarh,Wholesale,724,77.4,114.42
Haryana,559.33,284,Large,2019-03-30,37,Milk,Raj,282.27,67.03,42059.27,310,Refrigerated,2023-05-03,2025-05-18,520,127.22,154661.87,Delhi,Wholesale,279,24.02,195.25
Jharkhand,247.56,334,Medium,2020-02-19,14,Milk,Warana,975.78,63.17,63472.43,265,Polythene Packet,2019-01-09,2025-08-24,345,175.75,167195.68,Kerala,Retail,717,93.55,70.79
Madhya Pradesh,745.97,71,Large,2022-06-05,36,Paneer,Raj,494.27,92.08,60021.29,311,Ambient,2019-08-04,2024-08-28,326,156.91,183931.73,Telangana,Retail,35,87.02,175.9
Gujarat,145.65,135,Large,2020-10-29,31,Ghee,Palle2patnam,72.82,89.87,25331.34,34,Refrigerated,2019-10-03,2024-05-14,691,169.36,162898.93,Karnataka,Retail,957,48.22,123.65
Delhi,766.28,210,Medium,2019-10-19,28,Butter,Warana,359.73,167.54,88692.48,198,Frozen,2021-05-21,2025-03-24,552,57.16,36095.8,Kerala,Online,1250,23.85,104.51
Karnataka,715.43,69,Small,2023-09-26,8,Cheese,Raj,543.95,175.13,69587.13,46,Frozen,2022-01-08,2025-03-26,657,100.74,12221.55,Rajasthan,Retail,1271,89.04,19.83
Tamil Nadu,65.58,240,Small,2019-06-02,24,Curd,Dynamix Dairies,549.28,167.31,45175.02,260,Polythene Packet,2019-09-08,2025-12-22,858,150.58,174959.0,Uttar Pradesh,Retail,1348,36.0,94.88
Madhya Pradesh,974.17,499,Large,2019-11-06,1,Lassi,Dodla Dairy,947.23,51.52,8544.87,355,Polythene Packet,2020-12-17,2025-03-10,630,53.56,32852.2,Bihar,Online,217,53.83,161.33
Kerala,381.28,253,Medium,2022-12-31,33,Ice Cream,Sudha,85.83,167.51,87029.39,284,Tetra Pack,2019-11-08,2024-06-01,132,48.76,175686.5,Bihar,Wholesale,1215,9.04,186.73
Delhi,495.36,238,Small,2023-08-01,36,Ice Cream,Britannia Industries,149.5,195.18,66753.88,110,Polythene Packet,2021-09-06,2024-11-27,874,168.68,99419.66,Gujarat,Online,144,67.57,67.36
Jharkhand,22.03,330,Large,2023-03-14,39,Curd,Raj,696.8,61.46,22676.77,214,Polythene Packet,2022-01-30,2024-02-23,306,25.82,18933.75,Karnataka,Online,414,88.47,181.63
Bihar,354.69,82,Large,2020-08-21,24,Butter,Parag Milk Foods,147.62,69.5,76447.91,361,Ambient,2020-03-12,2024-09-27,782,69.74,187572.97,Chandigarh,Online,1391,36.81,150.14
Karnataka,602.55,108,Medium,2020-08-12,28,Lassi,Amul,714.22,114.15,30555.23,188,Ambient,2021-11-13,2024-05-02,803,50.46,75004.28,Delhi,Wholesale,1304,19.53,172.87
Maharashtra,25.94,240,Large,2022-12-04,8,Yogurt,Dynamix Dairies,806.03,67.12,66492.03,361,Tetra Pack,2020-10-15,2024-03-13,20,177.57,187139.18,Rajasthan,Wholesale,1315,31.54,132.31
Kerala,621.39,360,Medium,2023-09-18,5,Butter,Passion Cheese,832.37,60.84,7028.04,356,Tetra Pack,2022-01-13,2024-02-24,43,75.45,66873.42,Karnataka,Retail,210,96.57,192.5
Jharkhand,162.6,108,Small,2019-10-04,17,Curd,Raj,85.83,188.55,54885.71,286,Polythene Packet,2023-06-08,2025-05-29,476,167.39,185951.56,Bihar,Wholesale,746,81.33,86.0
Bihar,448.7,202,Small,2020-08-20,9,Curd,Warana,670.31,45.16,65008.98,220,Ambient,2021-12-18,2024-09-23,997,39.38,162063.35,West Bengal,Online,1065,46.52,99.94
Gujarat,413.92,118,Small,2019-05-09,6,Buttermilk,Sudha,134.53,148.25,36282.95,19,Refrigerated,2020-08-21,2024-12-15,14,171.08,67889.78,Bihar,Retail,251,13.65,78.8
Jharkhand,312.24,490,Large,2019-10-20,19,Paneer,Parag Milk Foods,199.04,36.03,71204.53,36,Tetra Pack,2020-12-27,2024-11-13,449,165.0,19374.68,Chandigarh,Wholesale,46,77.56,129.29
Jharkhand,531.71,325,Large,2021-11-21,5,Butter,Dynamix Dairies,867.09,66.02,28728.57,235,Ambient,2023-10-24,2025-04-02,426,109.98,182480.87,Delhi,Retail,1243,58.01,125.68
Haryana,612.96,182,Medium,2023-05-28,28,Lassi,Passion Cheese,295.17,94.11,42586.43,240,Tetra Pack,2021-03-12,2024-08-05,472,89.21,134927.62,Chandigarh,Online,1168,71.13,177.29
Uttar Pradesh,64.43,284,Medium,2021-01-15,29,Milk,Parag Milk Foods,166.6,175.64,28472.67,217,Frozen,2022-03-19,2025-08-01,95,123.72,54597.27,Delhi,Wholesale,823,58.1,18.53
West Bengal,202.83,308,Small,2019-07-23,45,Curd,Passion Cheese,193.63,76.28,7633.88,253,Frozen,2023-11-05,2025-12-29,848,73.7,89149.91,Telangana,Retail,404,62.0,93.32
